,movie_title,release_year,imdb_rating,genres,runtime,age_rating,production_country,steaming_on
0, Stree 2: Sarkate Ka Aatank ,(2024),7.1,"Horror, Comedy",2h 27min,UA,India,Amazon Prime Video
1, The Substance ,(2024),7.5,"Science-Fiction, Drama, Horror",2h 21min,,"France, United Kingdom",MUBI
2, Deadpool & Wolverine ,(2024),0.0,"Comedy, Science-Fiction, Action & Adventure",2h 7min,A,United States,Apple TV
3, Bhool Bhulaiyaa 3 ,(2024),5.9,"Comedy, Horror",2h 38min,UA,India,Bookmyshow
4, Meiyazhagan ,(2024),8.0,"Kids & Family, Drama",2h 57min,U,India,Netflix
5, Venom: The Last Dance ,(2024),6.2,"Science-Fiction, Action & Adventure, Mystery & Thriller",1h 49min,,United States,Bookmyshow
6, Vettaiyan ,(2024),7.8,"Action & Adventure, Crime, Drama",2h 43min,UA,India,Amazon Prime Video
7, Devara Part 1 ,(2024),6.2,"Action & Adventure, Drama, Mystery & Thriller",2h 56min,UA,India,Netflix
8, The Wild Robot ,(2024),8.3,"Animation, Science-Fiction",1h 42min,,"Japan, United States",Bookmyshow
9, Khel Khel Mein ,(2024),6.6,"Drama, Comedy",2h 15min,UA,India,Netflix
10, Do Patti ,(2024),6.9,"Mystery & Thriller, Drama, Crime",2h 7min,,India,Netflix
11, Alien: Romulus ,(2024),7.2,"Science-Fiction, Horror, Mystery & Thriller",1h 59min,A,United States,Apple TV
12, The Greatest of All Time ,(2024),5.9,"Action & Adventure, Drama, Mystery & Thriller",3h 3min,UA,India,Netflix
13, Kill ,(2024),7.6,"Action & Adventure, Crime, Drama, Mystery & Thriller",1h 45min,A,India,Hotstar
14, Longlegs ,(2024),6.7,"Horror, Mystery & Thriller, Crime",1h 41min,A,"Canada, United States",Amazon Prime Video
15, Siddharth Roy ,(2024),6.0,"Drama, Romance",2h 28min,A,India,aha
16, Vedaa ,(2024),6.0,"Mystery & Thriller, Action & Adventure, Drama",2h 25min,,India,Zee5
17, Level Cross ,(2024),6.0,"Drama, Mystery & Thriller",1h 56min,UA,India,Amazon Prime Video
18, Sarfira ,(2024),7.0,Drama,2h 35min,U,India,Hotstar
19, Lubber Pandhu ,(2024),8.0,"Comedy, Drama, Sport, Kids & Family, Romance",2h 26min,U,India,Hotstar
20, Vaazhai ,(2024),7.0,"Drama, Kids & Family",2h 14min,U,India,Hotstar
