,tv_title,release_year,imdb_rating,genres,runtime,age_rating,production_country,streaming_on
0, From ,(2022),7.8,"Science-Fiction, Mystery & Thriller, Drama, Horror",50min,,United States,Amazon Prime Video
1, Taaza Khabar ,(2023),8.1,"Science-Fiction, Drama, Action & Adventure, Comedy, Fantasy, Mystery & Thriller",32min,,India,Hotstar
2, The Penguin ,(2024),8.8,"Drama, Crime, Fantasy",53min,,United States,Jio Cinema
3, XXX: Uncensored ,(2018),0.0,"Comedy, Romance, Drama",22min,,India,Alt Balaji
4, Mirzapur ,(2018),8.4,"Action & Adventure, Drama, Mystery & Thriller, Crime",50min,A,India,Amazon Prime Video
5, Bigg Boss ,(2006),3.0,"Reality TV, Kids & Family",1h 16min,,India,Hotstar
6, Agatha All Along ,(2024),7.3,"Science-Fiction, Mystery & Thriller, Fantasy, Action & Adventure, Comedy, Drama",39min,,United States,Hotstar
7, Citadel: Honey Bunny ,(2024),6.0,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure",50min,,India,Amazon Prime Video
8, Don't Come Home ,(2024),7.0,"Mystery & Thriller, Science-Fiction, Drama, Horror",46min,,Thailand,Netflix
9, Game of Thrones ,(2011),9.0,"Drama, Action & Adventure, Science-Fiction, Fantasy",58min,U,United States,Jio Cinema
10, Nobody Wants This ,(2024),7.9,"Comedy, Romance, Drama",26min,,United States,Netflix
11, Dan Da Dan ,(2024),8.0,"Action & Adventure, Science-Fiction, Comedy, Fantasy, Romance, Mystery & Thriller, Animation",24min,,Japan,Crunchyroll
12, Hellbound ,(2021),6.6,"Drama, Crime, Science-Fiction, Mystery & Thriller, Fantasy, Horror",51min,,South Korea,Netflix
13, Sweetpea ,(2024),7.0,"Comedy, Drama",44min,,United Kingdom,Jio Cinema
14, Tulsa King ,(2022),8.0,"Drama, Crime",39min,,United States,Jio Cinema
15, Teacup ,(2024),6.0,"Drama, Mystery & Thriller, Science-Fiction, Horror",37min,,United States,Jio Cinema
16, The Diplomat ,(2023),8.0,"Drama, Mystery & Thriller, War & Military",50min,A,"United Kingdom, United States",Netflix
17, 1000 Babies ,(2024),0.0,"Crime, Drama, Horror",42min,A,India,Hotstar
18, Panchayat ,(2020),9.0,"Drama, Comedy",35min,,India,Amazon Prime Video
19, Only Murders in the Building ,(2021),8.1,"Mystery & Thriller, Comedy, Crime, Drama",35min,,United States,Hotstar
20, The Rookie ,(2018),8.0,"Crime, Drama, Comedy, Action & Adventure",43min,,United States,
21, The Legend of Hanuman ,(2021),9.1,"Animation, Action & Adventure, Kids & Family, Fantasy",21min,,India,Hotstar
22, Mastram ,(2020),6.0,"Comedy, Drama, Fantasy",28min,,India,VI movies and tv
23, Breaking Bad ,(2008),9.0,"Drama, Crime, Mystery & Thriller",47min,A,United States,Netflix
